Comment,irony,
12 车牌 遮挡 分 啊,1,12
2 懂 岁 男童 什么 都 懂,1,15
2 岁 男童 什么 都,1,11
2 岁 什么 都 懂,1,10
20 分钟 就 结束,1,10
20 分钟 就 结束 了,1,12
20 分钟 就 结束 投票 了,1,15
20分钟就结束投票了,1,10
24 小时,1,5
2岁男童什么都懂,1,8
30 也 好意思 搬 科比 出来,1,16
30分也好意思搬科比出来,1,12
3220 了 人 愿意 结婚,1,14
3220 年 了 还有 人 愿意,1,16
3220年了还有人愿意结婚,1,13
720 不冤,1,6
720 不冤 泄洪 不冤,1,12
720 泄洪,1,6
720 泄洪 不冤,1,9
720 泄洪 泄洪 不冤,1,12
720泄洪不冤,1,7
big,1,3
big 胆,1,5
big 胆 胆,1,7
big胆,1,4
blame,1,5
blame rap,1,9
bt bt,1,5
e 孝子,1,4
GDP 就,1,5
GDP 就 了 上来,1,10
GDP 就 上来 了,1,10
GDP 就 上来 了 了,1,12
GDP 了 上来 就,1,10
GDP 上来 就 上来 了,1,13
GDP就上来了,1,7
germanium,1,9
germanium ge,1,12
ip 的 正确,1,7
ip 正确,1,5
ip 正确 的,1,7
ip 正确 的 的,1,9
ip正确,1,4
ip正确的,1,5
jb 整,1,4
large 胆,1,7
twenty-four 小时,1,14
two 岁 男童 什么 都 懂,1,15
X 尼 就是 不通 人性,1,12
xxn 从不 打 打 逆风 局,1,15
xxn 从不 打 逆风 局,1,13
xxn 局 打 逆风 从不,1,13
xxn 逆风 打 从不 局,1,13
xxn 侵犯 隐私 就,1,11
xxn从不打逆风局,1,9
xxn侵犯男性隐私就屁事没有,1,14
阿富汗 屠杀 美国,1,9
啊 不轻 病得,1,7
啊 成都 的 辣个 屁 啊,1,13
啊 对,1,3
啊 国企 真是 个 好 地方 啊,1,16
啊 教授 文化 水平 就 这 啊,1,16
啊 看不得 啊,1,7
啊 里卡多 里卡多 思密达,1,13
啊 里卡多 思密达,1,9
啊 没想到,1,5
啊 没想到 啊,1,7
啊 女 的 是,1,7
啊 是,1,3
啊 是 啊,1,5
啊 说实话,1,5
啊 说实话 啊,1,7
啊 思密达 里卡多 思密达,1,13
啊 他 妈 不 认字 你,1,12
啊 他们 还有 父母 原来,1,13
啊 显然 有 问题 这,1,11
啊 遮挡 车牌 12 分 啊,1,14
啊里卡多思密达,1,7
哎哟,1,2
哎哟 哎哟,1,5
唉 ... 果然 是 阶级 有别,1,16
唉 果然 有别,1,7
唉...果然是阶级有别,1,11
爱干 啥 干 啥 呗 去,1,12
爱干 啥 干 啥 去 呗,1,12
爱干 啥 干 啥 啥 去 呗,1,14
爱干 啥 啥 干 啥 去 呗,1,14
爱干啥干啥去呗,1,7
爱也要适度,1,5
安全 还 你,1,6
俺家 开始 抵制 了,1,10
俺家 族群 里 已经 抵制 了,1,15
俺家族群里已经开始抵制了,1,12
傲慢的草台班子,1,7
奥运会 还 能 参加 反而,1,13
八 小西,1,4
八嘎,1,2
八嘎 八嘎,1,5
八杆子打不着,1,6
巴不得,1,3
巴不得 巴不得,1,7
把 把 加班费 补上 吧,1,12
把 别人 把 当 傻子 啊,1,13
把 别人 当 把 傻子 啊,1,13
把 别人 当 傻子 啊,1,11
把 补上 加班费 吧,1,10
把 不介意 我 他 驱 一下,1,14
把 当 别人 傻子 啊,1,11
把 放 出来,1,6
把 给 放 了,1,7
把 锅 身上 老百姓 往 甩 呗,1,16
把 锅 往 老百姓 身上 甩 呗,1,16
把 加班费 把 补上 吧,1,12
把 加班费 吧 补上,1,10
把 加班费 补上 吧,1,10
把 你 挡住 吗,1,8
把 你 挡住 门口 放 水 吗,1,15
把 你 放 门口 挡住 水 吗,1,15
把 你 给 放 出来 了,1,12
把 你 给 了 出来 放,1,12
把 你 给 你 放 出来 了,1,14
把 你 了 给 放 出来 了,1,14
把 你 门口 挡住 水 吗,1,13
把 人民 当回事,1,8
把 傻子 当 别人 啊,1,11
把 拖死 业主 们 都 拖死 了,1,16
把 往 老百姓 身上 甩 呗,1,14
把 吓 的,1,5
把 新教 定为 国教 好 了,1,14
把 业主 们 都 了 拖死 了,1,15
把 业主 们 都 拖死 了,1,13
把 这些 落实 啊,1,9
把 这些 这些 落实 啊,1,12
把别人当傻子啊,1,7
把儿子当爱人,1,6
把高铁当地铁了,1,7
把锅往老百姓身上甩呗,1,10
把加班费补上吧,1,7
把你🐴拿出来给大家团结一下呗,1,15
把你放门口挡住水吗,1,9
把你给放出来了,1,7
把业主们都拖死了,1,8
把这些落实啊,1,6
爸妈 是 真爱,1,7
爸妈 真爱 是,1,7
爸妈 真爱 是 真爱,1,10
